#class	isNamedIndividual	Description
ChinaShenyangSunshinePharmaceuticalCompany	true	http://www.3sbio.com/en/
VonFreyFilaments	true	Von Frey Filaments or the Von Frey Anaesthesiometer are plastic filaments with calibrated bending force, used for testing mechanical sensitivity, allodynia,  neuropathic pain.
Gender	false	Gender is the range of physical, mental, and behavioral characteristics distinguishing between masculinity and femininity.
ChondroitinaseABC	false	Chondroitinase ABC or chondroitin ABC lyase  is an enzyme that catalyzes the eliminative degradation of polysaccharides containing 1,4-beta-D-hexosaminyl and 1,3-beta-D-glucuronosyl or 1,3-alpha-L-iduronosyl linkages to disaccharides containing 4-deoxy-beta-D-gluc-4-enuronosyl groups. (Enzyme Nomenclature, 1992)
PostSurgeryCondition	false	Postsurgery condition comprises medication after surgery and all actions necessary to keep the subject in a stable state.
CompleteTransectionType	true	The "complete transection type" describes the type of an uncontrolled complete transection injury that was caused by an accident.
ZeroSignificance	false	Zero Significance is the test result of a statistical test which confirms that a null hypothesis can not be rejected and - if two or more groups were compared - the difference between  these groups is not statistically significant, i.e. a certain p value (usually above 0.05) was computed.
AntibioticMedication	false	Antibiotic medication is the substance applied to the subject to prevent infections after surgery or to treat an infection.
Embryonic	true	Embryonic is the definition of the source of a stem cell which is used for transplantation. It means that this stem cell was derived from embryonic tissue.
InfectionExamination	false	Infection Examination is the assessment of the invasion of the organism by a micsoorganism that can cause pathological conditions or disease.
StemCellSourceType	false	No description provided
Tetracycline	false	Tetracycline is a naphthacene antibiotic that inhibits amino acyl tRNA binding during protein synthesis.
ChemicalInjury	false	Chemical Innjury or chemical spinal cord injury is a process leading to a lesion or damage to the spinal cord using a photochemical dye and illumination.
LimbMuscleStrengthTest	false	Limb Muscle Strength Test is the examination of the fore- or hindlimb muscle strength during voluntary movement.
time#TemporalEntity	false	Temporal Entity is a temporal interval or instant.
17BetaEstradiolE2	false	17Beta Estradiol E 2 is the 17-beta-isomer of estradiol, an aromatized C18 steroid with hydroxyl group at 3-beta- and 17-beta-position. Estradiol-17-beta is the most potent form of mammalian estrogenic steroids.
EpiduralClip	false	Epidural Clip is a surgical instrument used to inflict a compression injury to the spinal cord. The clipping device is not further specified. It is placed epidurally to inflict the spinal cord lesion.
ElectrophysiologyTest	false	Electrophysiology Test is a test investigating the generation and behavior of electrical charges in living organisms particularly the nervous system and the effects of electricity on living organisms.
RunwayScan	true	Runway Scan is a gait analysis software for walkways for rats and mice.
Hormone	false	Hormone is a chemical substance having a specific regulatory effect on the activity of a certain organ or organs. The term was originally applied to substances secreted by various endocrine glands and transported in the bloodstream to the target organs. It is sometimes extended to include those substances that are not produced by the endocrine glands but that have similar effects.
RingersSolution	false	Ringers Solution is a physiological salt solution containing sodium chloride, potassium chloride, calcium chloride, magnesium sulfate, potassium dihydrogen phosphate, sodium bicarbonate and glucose.
GaitControlAbility	true	Gait Control Ability is the general function to execute walking behavioiur on purpose.
WalkingAnalysisTest	false	Walking Analysis Test is the examination of walking kinematics and kinetics either using a treadmill or another device, or in the open field.
SomatosensoryEvokedPotentialsTest	false	Somatosensory Evoked Potentials Test or SSEP test is the examination of the electric response evoked in the cerebral cortex by stimulation along afferent pathways from peripheral nerves to cerebrum.
BoneMarrowStemCell	false	Bone Marrow Stem Cells are stem cells which originate from the red bone marrow and give rise to blood cells. They are also called hematopoietic stem cells.
BloodCirculationExamination	false	Blood Circulation Examnation is the assessment of the movement of the blood as it is pumped through the cardiovascular system.
Thoracic	true	Thoracic is the anatomical region comprising one or more of 12 (in some animals 13) vertebrae in the vertebral column. The thoracic vertebrae are situated between the seventh cervical vertebra down to the first lumbar vertebra.
PEGFITC	false	PEG FITC or Polyethylene glycol coupled to Fluorescein-5-isothiocyanate is a polymer of ethylene oxide and water, or its ethers. They vary in consistency from liquid to solid depending on the molecular weight indicated by a number following the name. They are used as surfactants, dispersing agents, solvents, ointment and suppository bases, vehicles, and tablet excipients. Some specific groups are nonoxynols, octoxynols amd poloxamers.  PEG is coupled to FITC, a fluorescent probe capable of being conjugated to tissue and proteins. It is used as a label in fluorescent antibody staining procedures as well as protein- and amino acid-binding techniques.
Judgement	false	Judgement is a property of a result of an experiment, it is a part of the interpretation of the observation resulting from a treatment - or the lack of a treatment - after spinal cord injury and is focused on the subjects or patients of the study.  A Judgement is stated by the author of a study.
AntiNogoAAntibody	false	AntiNOGO Antibody is an antibody to the Nogo protein. Nogo protein is a neurite growth inhibitor restricting the structural plasticity and regeneration of nerve fibers in the adult vertebrate CNS; Nogo-66 refers to the 66-residue extracellular domain; has been sequenced.
LewisRat	true	Lewis rat is a rat strain developed by Dr. Lewis from Wistar stock in the early 1950s. To Charles River from Tulane in 1970 at F34.
RehabilitativeTraining	false	Rehabilitative Training is a therapeutic intervention for spinal cord injury by physical exercise.
Isoflurane	false	Isoflurane is a liquid which is evaporated as a halogenated ether gas for inhalation anaesthesia.
SigmaAldrich	true	Sigma Aldrich is a company which distributes compounds used in spinal cord injury experimental studies, among others.
ScarringTest	false	Scarring Test is the histological examination of the fibrous tissue that replaces normal tissue during the process of wound healing. After spinal cord injury, a glial scar forms at the lesion penumbra while a fibrous scar forms in its core.
MeasurementOfDecreasingTemperature	true	Measurement of decreasing temperature is the observation of decreased body temperature of an organism compared to the ground state, e.g., before and after injury or treatment.
Treatment	false	Treatment is the therapeutic intervention for spinal cord injury which is applied to a subject in a study.
Lumbar	true	Lumbar is the anatomical region comprising any one or more of the five bones situated between the thoracic vertebrae and the sacrum in the lower part of the spine.
MagnesiumSulfate	false	Magnesium Sulfate is a small colorless crystal used as an anticonvulsant, a cathartic, and an electrolyte replenisher in the treatment of pre-eclampsia and eclampsia. It causes direct inhibition of action potentials in myometrial muscle cells. Excitation and contraction are uncoupled, which decreases the frequency and force of contractions. (From AMA Drug Evaluations Annual, 1992, p1083)
NeuronalChangesTest	false	Neuronal Changes Test is the investigation of any alterations in cell morphology, physiology or function of neurons, perfomed with histological methods. Neurons are the basic cellular units of nervous tissue. Each neuron consists of a body, an axon, and dendrites. Their purpose is to receive, conduct, and transmit impulses in the nervous system.
GroomingObservation	false	Grooming Observation is the assessment of an animal's cleaning and caring for the body surface. This includes preening, the cleaning and oiling of feathers with the bill or of hair with the tongue.
Compression	false	Compression (or crush) of the spinal cord is a process naturally caused by bone fragments, tumors or other pathological conditions. In the experimental spinal cord injury model, compression means a constant force being inflicted on the spinal cord from one or multiple sides simultaneously. This is in contrast to contusion, where a short term force is inflicted on the spinal cord from one side.
AxonalRegenerationTest	false	Axonal Regeneration Test is the investigation of outgrowth of an injured axon over a long distance, measured with histological methods. Usually stated in the text as "axonal regeneration" or "axonal regrowth". This is in contrast to axon sparing or axon sprouting which could also stand for the growth of unlesioned axons or the formation of new collaterals.
TakedaPharmaceuticalCompany	true	Takeda Pharmaceutical Company is a company which distributes compounds used in spinal cord injury experimental studies, among others.
StudyDesign	false	Study Design is a plan detailing how a study will be performed in order to represent the phenomenon under examination, to answer the research questions that have been asked, and defining the methods of data analysis. Study design is driven by research hypothesis being posed, study subject/population/sample available, logistics/resources: technology, support, networking, collaborative support, etc.
CatModel	false	Cat Model is an animal of the carnivore family Felidae that is amenable to experimentation.
GuineaPigModel	false	Guinea Pig Model is an animal of the genus Cavia that is amenable to experimentation.
CD2_Mouse	true	CD2_Mouse is a genetically modified mouse with an human CD2 gene.
ExperimentalProcedure	false	Experimental procedure is a process carried out in a laboratory which alters the composition or state of an organism, tissue, cell or substance.
MonkeySpecies	false	Monkey Species is the taxonomix Haplorhini family.   A suborder of primates consisting of six families.
Length	false	Length is the linear extent in space from one end of something to the other end, or the extent of something from beginning to end.
NovartisMexico	true	Novartis is a company which distributes compounds used in spinal cord injury experimental studies, among others.
NeurologicScalesTest	false	Behavior Rating Scale Instrument designed to assess human or animal behavior, using a standardized format.
SlowerIncrease	true	Slower Increase is an observed qualitative difference between experimental groups in the course of an experiment and indicates a decreased velocity or longer time to reach an elevated level of an investigated property or variable. It also describes measurements of recovery.
PublicationYear	false	No description provided
Lipopolysaccharide	false	Lipopolysaccharides are lipid-containing polysaccharides which are endotoxins and important group-specific antigens. They are often derived from the cell wall of gram-negative bacteria and induce immunoglobulin secretion. The lipopolysaccharide molecule consists of three parts: LIPID A, core polysaccharide, and O-specific chains (O ANTIGENS). When derived from Escherichia coli, lipopolysaccharides serve as polyclonal B-cell mitogens commonly used in laboratory immunology. (From Dorland, 28th ed)
PubmedID	false	No description provided
Vehicle	false	Vehicle is a carrier or inert medium used as a solvent (or diluent) in which the medicinally active agent is formulated and or administered. (Dictionary of Pharmacy, 1986)
ManualDexterityTest	false	Manual Dexterity Test is a functional test of skill in performing tasks with the hand.
FunctionalTest	false	Functional Test or physical assessment is an experimental investigation method which tests for normal or impaired physiological function of the living organism.
Xenogeneic	true	Xenogeneic is the biological relation of two biological entities and describes the circumstance that both entities are from different individuals which are genetically different. Ususally this refers to transplantation of cells or tissue from one species to a host of another species.
AvoidanceResponseTest	false	Avoidance Response Test is the examination of any measurable or observable characteristic related to the actions or reactions of an organism pertaining to the ability to associate a previously neutral stimulus with an unpleasant or punishing stimulus so that the animal learns to avoid the previously neutral stimulus.
TShapedLesion	true	T Shaped Lesion is the description of an injury area inside the spinal cord which is comprising the bilateral dorsal hemisection and complete midline transection.
DislocationDevice	true	Dislocation Device is an apparatus for causinf spinal cord injury. The device consisted of two horizontal beams that can be attached the lateral surfaces of bodies of adjacent vertebrae by means of adjustable sliding clamps. One beam is rigidly fixed, whereas the other beam is used to laterally displace the lower attached vertebrae to a specified distance (1–20 mm) and speed (50–150 mm s−1) for a time period of 1 s.
PolyethyleneGlycolPEG	false	Polyethyleneglycol or PEG are polymers of ETHYLENE OXIDE and water, and their ethers. They vary in consistency from liquid to solid depending on the molecular weight indicated by a number following the name. They are used as SURFACTANTS, dispersing agents, solvents, ointment and suppository bases, vehicles, and tablet excipients. Some specific groups are NONOXYNOLS, OCTOXYNOLS, and POLOXAMERS.
SpinalLesionSite	false	Spinal Lesion Site is the tissue from the spinal cord injury lesion core (possibly including adjacent tissue).
Tissue	false	Tissue is a multicellular anatomical structure that consists of many cells of one or a few types, arranged in an extracellular matrix such that their long-range organisation is at least partly a repetition of their short-range organisation.
Allogeneic	true	Allogeneic is the biological relation of two biological entities and describes the circumstance that both entities are from different individuals of the same species.
OrganismModel	false	Organism Model is the subject of an experiment in research which represents the population of similar organisms.
CompoundBiologicalRelation	false	Compound biological relation is the relation of the biological compound source which is used as a treatment for spinal cord injury to the host organism.
HematoxyLinEosin	false	HematoxylinEosin is a mix of hematoxylin, dye obtained from the heartwood of logwood (Haematoxylon campechianum Linn., Leguminosae) used as a stain in microscopy and in the manufacture of ink and Eosine, a versatile red dye used in cosmetics, pharmaceuticals, textiles, etc., and as tissue stain, vital stain.
InflammationTest	false	Inflammation Test is the histological examination of a pathological process characterized by injury or destruction of tissues caused by a variety of cytologic and chemical reactions involving cells of the immune system.
DogModel	false	Dog Model is an animal of the carnivore family Canidae that is amenable to experimentation.
GaitTest	false	Gait Test is the examination of the pattern of movement of the limbs of animals or legs of humans, characterized by elements of progression, stability, speed and length over the ground.
Observation	false	Observation is the group of variables, qualitative states and any physical changes during an experiment.
OsmoticMinipump	true	Osmotic Minipump is an Implantable pump for slow substance release by osmotic pressure.
AnimalCareCondition	false	Animal care condition is a process performed according to an animal care protocol, which specifies the conditions of animal keeping and pre- and postsurgical medical care. Depending on the severity of the injury, medication and special care like e.g. manual bladder voiding is necessary in the postsurgical phase.
OscillatingFieldStimulator	true	Oscillating Field Stimulator is a device used to apply an oscillating electric field to the spinal cord. It consists of mulitple parts which are either implanted or placed above the bone or skin.
FluanisoneMidazolamMixture	false	Fluanisone Midazolam Mixture is a typical sedative mixture for anaesthesia induction and maintenance containing the two components fluanisone and midazolam.
BBBSubscoreTest	false	BBB Subscore Test is a system to rate single locomotion abilities in a 7-point scale originating from the Basso-Beattie-Bresnahan locomotor scale.
WistarRat	true	A strain of albino rat developed at the Wistar Institute that has spread widely at other institutions. This has markedly diluted the original strain.
NeuroprotectionTest	false	Neuroprotection Test is the examination of the physiological processes and techniques used by the body to prevent neuronal injury and degeneration in the central nervous system following acute disorders or as a result of chronic neurodegenerative diseases.
GroupName	false	Experimental groups are often described with synonyms in a scientific text, e.g. control group ('control') versus treated group ('treated').
Right	false	Right is the anatomical location toward the side of the body to the east when facing north.
Aged	true	Aged is a specific age category of the experimental subject as defined by the author, usually reflecting a long mature or geriatric state, possibly combined with age-specific degeneration of motor and physiological function. The exact age of an aged organism differs between species.
Frequency	false	No description provided
ApplicationInstrument	false	Application Instrument is an instrument for pharmacological treatment administration, i.e. syringe or osmotic minipump.
SurgeryTreatment	false	Surgery Treatment is a surgical procedure as therapeutic intervention for spinal cord injury as e.g. decompression surgery.
ChloralHydrate	false	Chloral hydrate is a hypnotic pharmacological drug with sedative and hypnotic effects.
VertebralLocation	false	Vertebral Location is the anatomical region of the vertebral column.
MolecularChangesTest	false	Molecular Changes Test is the investigation of changes of molecular composition or signal pathways or molecular signal function using molecular biology methods.
SecondaryDegenerationTest	false	Secondary Degeneration Test is the histological examination of the process of degeneration of tissue after the initial impact. This process can last for several days or weeks after spinal cord injury.
Steroid	false	A group of polycyclic compounds closely related biochemically to TERPENES. They include cholesterol, numerous hormones, precursors of certain vitamins, bile acids, alcohols (STEROLS), and certain natural drugs and poisons. Steroids have a common nucleus, a fused, reduced 17-carbon atom ring system, cyclopentanoperhydrophenanthrene. Most steroids also have two methyl groups and an aliphatic side-chain attached to the nucleus. (From Hawley's Condensed Chemical Dictionary, 11th ed)
Autologous	true	Autologous is the biological relation of two biological entities and describes the circumstance that both entities are from the same individual.
SpinalFiberTract	false	Spinal Fiber Tract comprises a bundle of neuronal projections inside the spinal cord.
MicrodialysisDelivery	false	Microdialysis delivery is a substance delivery method using a small probe equipped with a semipermeable membrane.
VertebralArea	false	Vertebral Area is a spatial location which spans from a higher vertebral bone to a lower vertebral bone. It can comprise vertebrae from different segments, e.g. T10 to L2.
RubrospinalTract	false	Rubrospinal Tract is the spinal fiber tract originating from the nucleus ruber in the brain, descending into the spinal cord.
PainTest	false	Pain Test are scales, questionnaires, tests, and other methods used to assess pain severity and duration in patients or experimental animals to aid in diagnosis, therapy, and physiological studies. [MeSH 2014_2014_02_10].
DorsalColumn	false	Dorsal Column is the dorsal portion of the white matter of the spinal cord; consists primarily of axons that relay somatic sensory information to the medulla.
InjuryIntensity	false	Injury Intensity or severity is a measure for the severity of a spinal cord injury. It can be mild, moderate, severe etc..
SchwannCell	false	Schwann cells are glia cells of the peripheral nervous system which play an important role in peripheral nerve regeneration.
Retransection	true	Retransection is a surgical procedure applied in preclinical spinal cord injury research where the spinal cord is transected after an initial lesion and recovery time in order to verify that a functional benefit was due to axonal regrowth.
InVitroExperimentalProcedure	false	In vitro experimental procedure is a planned process which is carried out outside the body and results in physical changes of biological entities like cells.
NYUImpactor	false	NYU Impactor or New York University (NYU) impactor is an instrument for accurate and specific weight drop on the exposed spinal cord.The injury procedure involves performing a laminectomy at the targeted level and stabilization of the spinal cord by means of clamps. A rod of specific weight, usually 10 g, is dropped from a precise height above the surface of the cord to induce SCI of defined severity. Key parameters such as height, time, velocity upon impact and cord compression are recorded digitally that enable experiments to be analyzed and discarded if out of desired range.
RecombinantEPORhEpo	false	Recombinant EPO (R hEPO) is the recombinant form of a glycoprotein hormone, secreted naturally chiefly by the KIDNEY in the adult and the LIVER in the FETUS, that acts on erythroid stem cells of the BONE MARROW to stimulate proliferation and differentiation.
Sacral	true	Sacral is the anatomical region comprising any one or more of the usually five fused vertebrae forming the triangular bone just below the lumbar vertebrae.
PfizerMexico	true	Pfizer Mexico is a company which distributes compounds used in spinal cord injury experimental studies, among others.
NonNumericValue	false	No description provided
BBBTest	false	BBB Test is a scale for locomotion in the rat: Basso-Beattie-Bresnahan locomotor scale. This open field walking score measures recovery of hindlimb movements in rats during free open field locomotion as described by Basso et al.
Magnesium	false	Magnesium is a metallic element that has the atomic symbol Mg, atomic number 12, and atomic weight 24.31. It is important for the activity of many enzymes, especially those involved in OXIDATIVE PHOSPHORYLATION.
None	true	None is the observation that there is no qualitative difference between experimental groups in the course of an experiment.
IntramuscularLocation	true	Intramuscular Location is the anatomical location for substance application within a muscle.
Clip	false	Clip is a surgical instrument used to inflict a compression injury to the spinal cord.
No5DumontForeceps	true	No5 Dumont Forceps is a specific type of forceps often used in experimental spinal cord injury studies for compression of the spinal cord.
NT3Lentivirus	false	NT3 Lentivirus is a lentiviral vector expressing neurotrophin-3 or NT-3.
Intraspinal	false	Intraspinal is an anatomical location inside the central nervous tissue within the vertebral column.
Positive	true	Positive is a property of a result of a study and means that the subject experiences advantages with regard to the observed function or state. If a treatment is tested against a control situation positive would mean that the treatment succeeds to benefit the subject.
MouseModel	false	Mouse Model is an animal of the genus Mus that is amenable to experimentation.
ModerateInjury	true	Moderate Injury is a medium degree of severity for spinal cord injury.
AlphaSignificanceNiveau	false	No description provided
Catheter	true	Catheter is a flexible, tubular device that is used to carry fluids into or from a blood vessel, hollow organ, or body cavity.
LouisvilleSwimScale	false	Louisville Swim Scale is a scale that evaluates three characteristics of swimming that are highly altered by spinal cord injury— namely, hindlimb movement, forelimb dependency, and body position.
Balloon	false	Balloon is an injury device inserted into the epidural space and inflated by saline or air to cause a graded spinal cord injury without damaging surrounding tissue.
GeneExpressionAnalysis	false	Gene Expression Analysis is the examination of the process in which a gene's sequence is converted into a mature gene product or products (proteins or RNA). This includes the production of an RNA transcript as well as any processing to produce a mature RNA product or an mRNA or circRNA (for protein-coding genes) and the translation of that mRNA or circRNA into protein. Protein maturation is included when required to form an active form of a product from an inactive precursor form.
DorsalHemisection	false	Dorsal Hemisection is the partial transection of the spinal cord, leaving ventral spinal tracts intact.
Sacrifice	true	Sacrifice is the process of killing an experimental animal.
LocomotorTest	false	Locomotor Test is the examination of movement or the ability to move from one place or another. It can refer to humans, vertebrate or invertebrate animals, and microorganisms.
SubstanceApplicationLocation	false	Substance Application Location is the anatomical region where a substance or a compound is applied to the body.
MPSS	false	MPSS or methylprednisolone sodium succinate is a prednisolone derivative with similar anti-inflammatory action.
Brain	false	Brain is the part of the central nervous system that is contained within the skull.
MildInjury	true	Mild Injury is the minor degree of severity of a spinal cord injury.
CompoundTreatment	false	Compound Treatment is a therapeutic intervention for spinal cord injury which includes the application of a substance, cell, implant etc. which is either applied locally or systemically.
DistractionType	true	The "distraction type" describes the type of an uncontrolled distraction injury that was caused by an accident.
Thickness	false	Thickness is the dimension between two surfaces of an object, usually the smallest dimension as opposed to the width or the length.
CatSpecies	true	Cat Species is the taxonomic family (Felidae) which includes domestic and wild cats such as lions and tigers.
OralDelivery	false	Oral delivery is the giving of drugs, chemicals, or other substances by mouth.
VentricularLocation	true	Ventricular location is an anatomical locus in one of the systems of communicating cavities in the brain that are continuous with the central canal of the spinal cord, that like it are derived from the medullary canal of the embryo, that are lined with an epithelial ependyma, and that contain a serous fluid
FasterIncrease	true	Faster Increase is an observed qualitative difference between experimental groups in the course of an experiment and indicates an increased velocity or shorter time to reach an elevated level of an investigated property or variable. It also describes measurements of recovery.
NeurogenesisTest	false	Neurogenesis Test is the examination of formation of neurons which involves the differentiation and division of stem cells in which one or both of the daughter cells become neurons.
CystVolumeTest	false	Cyst Volume Test is the histological examination of any fluid-filled closed cavity or sac that are lined by an EPITHELIUM in the spinal cord. Cysts can be of normal, abnormal, non-neoplastic, or neoplastic tissues.
MotorEvokedPotentialsTest	false	Motor Evoked Potentials Test or MEP test is the examination of the electrical response evoked in a muscle or motor nerve by electrical or magnetic stimulation. Common methods of stimulation are by transcranial electrical and transcranial electric stimulation. It is often used for monitoring during neurosurgery.
Higher	true	Higher is an observed qualitative difference between experimental groups in the course of an experiment and indicates an increased value or amount of a certain measured property.
DorsalInjuryArea	true	Dorsal Injury Area is the location of damaged spinal cord tissue after a lesion which is in direction to the the end or posterior part - in quadrupedal animals at the upper surface of the body.
CardioVascularFunctionTest	false	Cardiovascular Function Test is the examination of the physiological phenomena, processes and properties of the cardiovascular system as a whole or of any of its parts.
GeneticModificationTreatment	false	Genetic Modification Treatment is a procedure of influencing gene expression of an organism in order to study the effect of a certain molecule.
SensoryFunction	false	Sensory Function or Sensory System Function is the extent to which an individual correctly senses skin stimulation, sounds, proprioception, taste and smell, and visual images.
NS398	false	NS398 is a C-nitro compound that is N-methylsulfonyl-4-nitroaniline bearing an additional cyclohexyloxy substituent at position 2.
MotorFunction	false	Motor Function is the ability of to control and move muscles in order to achieve a desired motion.
Force	false	Force is the extent to which an object with mass can be caused to accelerate. It is a derived quantity in the International System of Units. Force is mass times acceleration.
Dedifferentiation	true	Dedifferentiation is the process in which a specialized structure (cell, tissue or organ) loses structural or functional features that characterize it in the mature organism, or some other relatively stable phase of the organism's life history. Under certain conditions, these structures can revert back to the features of their ancestors.
PositiveSignificance	false	Positive Significance is the test result of a statistical test which confirms that a null hypothesis could be rejected and - if two or more groups were compared - the difference between  these groups is statistically significant, i.e. a certain p value (usually below 0.05) was computed.
Mexiletine	false	Mexiletine is an antiarrhythmic agent pharmacologically similar to LIDOCAINE. It may have some anticonvulsant properties.
UnivOfTriesteImpactor	false	The University of Trieste or UTS impactor device is used to inflict accurate and specific weight drop on the exposed spinal cord.
Hyperalgesia	true	Hyperalgesia is an increased sensation of pain or discomfort produced by mimimally noxious stimuli due to damage to soft tissue containing nociceptors or injury to a peripheral nerve.
GaleRatingScoreTest	false	Gale Rating Scale is a neurologic scale for rating behaviour in rats.
Faster	true	Faster is an observed qualitative difference between experimental groups in the course of an experiment and indicates an increased velocity or shorter time to reach a certain status. It also describes measurements of recovery. It also describes measurements of recovery.
AnimalModel	false	Animal Model is an animal that is amenable to experimentation and whose physiological or pathologic mechanisms are sufficiently similar to those of a human for the animal to serve as a model.
Antibody	false	An antibody or immunoglobulin is a multi-subunit protein which functions in immunity. They are produced by B lymphocytes and are comprised of two heavy and two light chains with additional ancillary polypeptide chains depending on their isoforms. The variety of isoforms include monomeric or polymeric forms, and transmembrane forms or secreted forms. They are divided by the amino acid sequence of their heavy chains into five classes and various subclasses.
Syngenic	true	Syngenic is the biological relation of two biological entities and describes the circumstance that both entities are from different individuals which are genetically identical.
OligodendrogliaChangesTest	false	Oligodendroglia Changes Test or Oligocyte Changes Test is the examination of any histological alterations in a class of large neuroglial (macroglial) cells in the central nervous system. Oligodendroglia may be called interfascicular, perivascular, or perineuronal according to their location. They form the insulating myelin sheath of axons in the central nervous system.
Young	true	Young is a specific age category of the experimental subject as defined by the author, usually defined as pre-mature state. The exact age of a young organism differs between species.
OrthoBiotech	true	Ortho Biotech is a company which distributes compounds used in spinal cord injury experimental studies, among others.
AspirationLesion	false	Aspiration Lesion is a spinal cord injury applied by a vacuum or low pressure to the spinal cord tissue, leaving a gap in the tissue.
Nutrition	true	Nutrition is the procedure of feeding of subjects after spinal cord injury.
DosageExtracorporal	false	Dosage Extracorporal is the total quantity or strength of a substance administered at one time measured as concentration in a liquid or vehicle.
EstradiolBenzoate	false	Estradiol benzoate is a compound of estradiol, the 17-beta-isomer of estradiol, an aromatized C18 steroid with hydroxyl group at 3-beta- and 17-beta-position and benzoate.
Negative	true	Negative is a property of a result of a study and means that the subject experiences disadvantages with regard to the observed function or state.
EvansBlue	false	Evans Blue is an azo dye used in blood volume and cardiac output measurement by the dye dilution method. It is very soluble, strongly bound to plasma albumin, and disappears very slowly.
Laminectomy	false	Laminectomy is a surgical procedure that entails removing all (laminectomy) or part (laminotomy) of selected vertebral lamina to relieve pressure on the SPINAL CORD and/or SPINAL NERVE ROOTS. Vertebral lamina is the thin flattened posterior wall of vertebral arch that forms the vertebral foramen through which pass the spinal cord and nerve roots.
